ITEM_TYPE,ITEMS,Brand Name,Dealer Name,Sales Units,Net Sales $,Net Cost $,SOP $,SOP Units,Net Receipt $,Net Receipt Units,RC $,RC Units,Average Inventory value,Average Inventory Units,Tax Percent %,Gross Receipt $,Gross Receipt Units,Avg item price,Fashion-Style Number,Inventory Weeks,Fashion-Style Count 
202G,GIFTS,STRAUT LITTLE,ArchGalllery,227,"$2,233 ","$1,333 ","($2,165)",-367,$0 ,0,$0 ,0,"($36,398)","-6,175",0.00%,$0 ,0,$5.90 ,1,1,22
202G,GIFTS,STRAUT LITTLE,ArchGalllery,1,$30 ,$3 ,"$1,568 ",7649,$0 ,0,$0 ,0,676404,2050,25%,$0 ,0,$3.20 ,1,0,2
202G,GIFTS,STRAUT LITTLE,ArchGalllery,14,$374 ,$392 ,($719),-26,$0 ,0,$0 ,0,360197,586,0.00%,$0 ,0,$28.00 ,1,0,1
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"6,273","$365,975 ","$85,257 ","$52,252 ","4,341","$121,047 ","8,359",$0 ,0,"$52,383 ","3,913",49.50%,"$120,791 ","8,343",$13.60 ,228,30,46
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,109,"$3,993 ","$1,043 ","$3,546 ",452,"$1,540 ",163,$0 ,0,"$3,218 ",402,17.50%,"$1,595 ",170,$9.60 ,17,13,18
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"3,806","$78,070 ","$40,577 ","$87,844 ","6,946","$115,340 ","11,701",$0 ,0,"$55,155 ","4,889",19.80%,"$121,861 ","12,232",$10.70 ,273,30,1
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,66,"$3,367 ",$702 ,"$3,661 ",326,$386 ,46,$0 ,0,"$2,982 ",270,16.80%,$618 ,66,$10.60 ,12,13,15
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"1,826","$83,503 ","$47,827 ","$27,561 ",827,"$100,936 ","4,190",$0 ,0,"$32,757 ","1,252",36.70%,"$99,244 ","4,149",$26.20 ,62,30,36
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,307,"$223,958 ","$145,415 ","$191,684 ",418,"$208,799 ",423,$539 ,1,"$104,312 ",218,38.30%,"$191,885 ",384,$473.70 ,93,30,161
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,459,"$33,292 ","$7,882 ",7023,74014,"$25,482 ","1,350",$0 ,0,"$8,610 ",495,34.00%,"$25,463 ","1,349",$17.20 ,4,17,69
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"1,879","$235,484 ","$131,144 ","$145,130 ","1,366","$159,207 ","2,274","$2,160 ",31,"$80,013 ",848,54.70%,"$139,155 ","2,068",$69.80 ,126,30,438
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,83,"$3,353 ",$654 ,"$2,668 ",203,"$2,045 ",306,$0 ,0,"$3,390 ",337,15.90%,"$2,113 ",318,$7.90 ,10,13,9
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"4,164","$94,050 ","$54,083 ","$20,782 ","1,633","$79,363 ","6,163",$0 ,0,"$23,035 ","1,797",53.30%,"$79,574 ","6,177",$13.00 ,70,30,38
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,291,"$363,767 ","$113,721 ","$538,234 ","1,668","$105,362 ",177,$0 ,0,"$229,457 ",673,14.60%,"$154,041 ",320,$390.80 ,713,30,151
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,6,$330 ,$57 ,$154 ,19,($13),0,$0 ,0,$121 ,16,31.60%,$0 ,0,$9.40 ,10,13,13
205C,CHILDREN_FASHION,FIRE AND WATER,CutiePie Fashion,"4,882","$369,098 ","$87,059 ","$131,002 ","6,024","$179,721 ","10,170","$50,741 ","2,828","$93,310 ","4,695",25.70%,"$230,933 ","13,009",$17.80 ,162,30,"1,036"
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,579","$373,009 ","$83,092 ","$76,539 ","1,011","$124,495 ","2,561",$0 ,0,"$68,003 ","1,288",44.10%,"$126,863 ","2,569",$52.60 ,113,30,40
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,167","$238,789 ","$129,909 ","$109,626 ",668,"$286,751 ","2,683",$0 ,0,"$98,323 ",755,34.40%,"$292,492 ","2,725",$111.30 ,495,30,142
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,96,"$3,873 ",$949 ,$623 ,54,"$2,153 ",219,$0 ,0,"$1,569 ",153,33.40%,"$2,298 ",233,$9.90 ,8,13,549
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,287,"$5,595 ","$2,844 ","$16,244 ","1,406","$4,634 ",521,$0 ,0,"$14,633 ","1,293",14.40%,"$5,461 ",593,$9.90 ,52,13,4
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,250","$25,092 ","$12,352 ","$4,547 ",274,"$37,189 ","3,934",$0 ,0,"$9,704 ","1,092",29.70%,"$38,170 ","3,928",$9.90 ,42,30,76
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,528","$384,380 ","$97,742 ","$173,206 ","8,939","$175,080 ","10,236",$0 ,0,"$85,022 ","4,492",28.60%,"$176,762 ","10,360",$17.70 ,244,30,766
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,736,"$370,434 ","$71,343 ","$120,103 ","1,154","$150,305 ","1,481",$0 ,0,"$86,872 ",841,29.50%,"$132,173 ","1,337",$96.90 ,215,30,143
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,203,"$4,256 ","$2,139 ","$21,427 ","1,743",$558 ,67,$0 ,0,"$17,747 ","1,422",10.50%,"$2,369 ",198,$10.50 ,85,13,14
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,971,"$26,436 ","$14,294 ","$8,041 ",517,"$41,806 ","2,339",$0 ,0,"$10,171 ",656,33.70%,"$42,162 ","2,361",$14.70 ,34,30,24
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,113,"$2,324 ","$1,159 ","$6,473 ",621,$343 ,52,$0 ,0,"$4,922 ",475,16.30%,$559 ,73,$10.30 ,38,13,27
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,8,$675 ,$420 ,$34 ,2,$403 ,7,$0 ,0,$36 ,2,80.00%,$420 ,8,$52.50 ,6,12,60
202G,GIFTS,STRAUT LITTLE,ArchGalllery,11,$393 ,$0 ,"$1,726 ",10473,$0 ,4,$0 ,0,261647,-1,100.00%,$0 ,4,$0.00 ,6,11,168
202G,GIFTS,STRAUT LITTLE,ArchGalllery,8,$223 ,$168 ,$504 ,24,$0 ,0,$0 ,0,$346 ,16,33.30%,$0 ,0,$21.00 ,1,13,77
202G,GIFTS,STRAUT LITTLE,ArchGalllery,2,$70 ,$38 ,$770 ,27,$0 ,0,$0 ,0,$875 ,19,7.40%,$0 ,0,$18.80 ,2,14,172
202G,GIFTS,STRAUT LITTLE,ArchGalllery,38,"$3,344 ",$782 ,$71 ,4,$782 ,38,$0 ,0,$64 ,3,90.50%,$782 ,38,$20.60 ,15,15,99
202G,GIFTS,STRAUT LITTLE,ArchGalllery,1,$58 ,$70 ,"$4,200 ",42785,$0 ,0,$0 ,0,559351,1544,25%,$0 ,0,$69.70 ,1,0,1
202G,GIFTS,STRAUT LITTLE,ArchGalllery,7,$442 ,$514 ,"$1,726 ",149042,$0 ,0,$0 ,0,586715,2324,25%,$0 ,0,$73.40 ,1,0,35
202G,GIFTS,STRAUT LITTLE,ArchGalllery,2,$330 ,$73 ,"$3,734 ",118,$0 ,0,$0 ,0,"$3,010 ",95,1.70%,$0 ,0,$36.70 ,22,13,73
202G,GIFTS,STRAUT LITTLE,ArchGalllery,3,$305 ,$269 ,$112 ,1,$112 ,1,$0 ,0,$86 ,818,100.00%,$112 ,1,$89.70 ,2,22,199
202G,GIFTS,STRAUT LITTLE,ArchGalllery,441,"$5,342 ","$4,683 ","($10,138)",-720,$0 ,0,$0 ,0,"($9,357)",-762,0.00%,$0 ,0,$10.60 ,1,15,65
202G,GIFTS,STRAUT LITTLE,ArchGalllery,100,"$30,873 ","$5,464 ",$623 ,16,"$5,747 ",101,$0 ,0,$355 ,9,87.00%,"$5,608 ",99,$54.60 ,46,26,23
202G,GIFTS,STRAUT LITTLE,ArchGalllery,25,"$2,336 ","$1,235 ","$3,162 ",50,$144 ,8,$0 ,0,"$1,186 ",19,34.70%,"$1,050 ",22,$49.40 ,18,23,67
202G,GIFTS,STRAUT LITTLE,ArchGalllery,516,"$3,732 ","$2,346 ","$3,465 ",693,"$10,234 ","2,264",$0 ,0,"$2,565 ",541,17.40%,"$10,206 ","2,268",$4.50 ,1,30,138
202G,GIFTS,STRAUT LITTLE,ArchGalllery,36,"$2,329 ","$1,211 ","$1,078 ",68,$771 ,8,$0 ,0,$617 ,40,37.90%,"$1,030 ",27,$33.60 ,15,14,13
202G,GIFTS,STRAUT LITTLE,ArchGalllery,31,"$4,283 ","$2,407 ","$1,359 ",23,"$2,561 ",35,$0 ,0,$665 ,11,52.50%,"$2,677 ",36,$77.60 ,36,24,138
202G,GIFTS,STRAUT LITTLE,ArchGalllery,280,"$38,997 ","$12,489 ","$4,061 ",145,"$11,880 ",237,$85 ,1,"$1,591 ",47,66.70%,"$12,165 ",275,$44.60 ,161,26,461
202G,GIFTS,STRAUT LITTLE,ArchGalllery,98,"$32,602 ","$6,718 ","$6,098 ",45,"$5,963 ",97,$145 ,1,"$2,924 ",22,68.50%,"$6,766 ",98,$68.60 ,69,26,4
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,016","$323,530 ","$69,804 ","$6,869 ",109,"$76,604 ","1,151",$201 ,1,"$2,767 ",50,83.90%,"$75,405 ","1,102",$68.70 ,438,28,349
202G,GIFTS,STRAUT LITTLE,ArchGalllery,20,$336 ,$197 ,$499 ,54,$116 ,12,$0 ,0,$310 ,34,30.30%,$116 ,12,$9.80 ,9,15,63
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"5,965","$22,585 ","$8,472 ",8308,121836,"$60,974 ","37,195",$0 ,0,"$33,422 ","20,962",16.00%,"$60,778 ","37,191",$1.40 ,38,5,34
202G,GIFTS,STRAUT LITTLE,ArchGalllery,692,"$23,093 ","$11,038 ",$176 ,27,"$13,176 ",879,$0 ,0,$351 ,52,77.70%,"$12,819 ",864,$16.00 ,151,30,328
202G,GIFTS,STRAUT LITTLE,ArchGalllery,234,"$27,368 ","$16,432 ",2007,210418,"$112,415 ","1,710",$0 ,0,"$86,417 ","1,324",13.30%,"$115,590 ","1,753",$70.20 ,13,7,423
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"6,714","$833,377 ","$627,538 ","$129,598 ",746,"$804,959 ","8,080",$0 ,0,"$172,955 ","1,405",82.10%,"$743,636 ","7,427",$93.50 ,"1,036",30,24
202G,GIFTS,STRAUT LITTLE,ArchGalllery,134,"$32,545 ","$6,448 ","$1,517 ",45,"$6,537 ",133,$0 ,0,$612 ,19,75.30%,"$6,503 ",133,$48.10 ,40,26,234
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"17,445","$702,428 ","$393,492 ","$179,081 ","6,568","$1,332,629 ","48,914",$0 ,0,"$319,402 ","11,258",31.40%,"$1,333,396 ","48,943",$22.60 ,142,30,989
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,639","$909,863 ","$708,002 ","$855,761 ","1,749","$1,230,543 ","2,679",$0 ,0,"$438,677 ",829,38.30%,"$1,138,147 ","2,533",$432.00 ,549,30,102
202G,GIFTS,STRAUT LITTLE,ArchGalllery,199,"$2,943 ","$1,532 ",$188 ,125,"$9,876 ","1,283",$0 ,0,"$2,660 ",400,14.20%,"$9,728 ","1,280",$7.70 ,4,21,130
202G,GIFTS,STRAUT LITTLE,ArchGalllery,51,"$2,643 ","$3,892 ","$5,901 ",315,"$1,734 ",-2,$0 ,0,"$2,721 ",146,14.40%,"$2,388 ",40,$76.30 ,76,19,4
202G,GIFTS,STRAUT LITTLE,ArchGalllery,993,"$664,069 ","$442,071 ","$614,716 ","1,276","$380,594 ",902,$0 ,0,"$313,267 ",654,43.70%,"$442,096 ",995,$445.20 ,766,30,19
202G,GIFTS,STRAUT LITTLE,ArchGalllery,289,"$27,835 ","$21,774 ","$13,618 ",176,"$20,638 ",248,$0 ,0,"$7,287 ",94,69.80%,"$19,678 ",238,$75.30 ,143,30,485
207S,SHOES,BATA,Fashion Quotient,271,"$43,763 ","$25,300 ","$158,360 ","1,440","($119,170)","-1,062","$130,964 ","1,204","$45,364 ",420,16.80%,"$16,255 ",173,$93.40 ,165,29,47
207S,SHOES,BATA,Fashion Quotient,"2,803","$638,887 ","$392,599 ","$617,933 ","6,413","$543,353 ","3,237",$864 ,16,"$361,614 ","3,091",28.50%,"$560,454 ","3,433",$140.10 ,792,30,285
207S,SHOES,BATA,Fashion Quotient,2,"$3,640 ","$1,073 ","$14,379 ",31,($841),-2,$0 ,0,"$11,214 ",24,6.50%,$0 ,0,$536.70 ,20,14,96
207S,SHOES,BATA,Fashion Quotient,"1,188","$38,932 ","$10,809 ",$466 ,62,"$29,786 ","3,339",$0 ,0,"$8,879 ",971,35.00%,"$29,691 ","3,332",$9.10 ,12,30,274
207S,SHOES,BATA,Fashion Quotient,100,"$3,308 ","$2,399 ","$114,214 ","4,221","($2,858)",-86,$0 ,0,"$49,111 ","1,811",2.40%,$0 ,0,$24.00 ,361,26,578
207S,SHOES,BATA,Fashion Quotient,"8,353","$320,374 ","$214,035 ","$642,475 ","25,053","($1,562)",-75,$0 ,0,"$258,758 ","10,197",33.30%,$83 ,3,$25.60 ,235,30,327
207S,SHOES,BATA,Fashion Quotient,"12,156","$3,342,549 ","$696,089 ","$121,914 ","1,578","$1,173,231 ","20,526",$0 ,0,"$254,319 ","4,340",55.10%,"$1,178,318 ","20,483",$57.30 ,206,30,7
207S,SHOES,BATA,Fashion Quotient,"14,255","$3,543,738 ","$999,576 ","$1,209,319 ","17,374","$1,646,773 ","21,782","$1,256 ",14,"$952,984 ","13,037",36.00%,"$1,682,426 ","22,178",$70.10 ,749,30,195
207S,SHOES,BATA,Fashion Quotient,818,"$3,837,404 ","$1,130,305 ","$1,352,647 ","1,518","$1,208,241 ",892,$0 ,0,"$884,955 ",801,32.70%,"$2,200,719 ",987,"$1,381.80 ",193,30,349
207S,SHOES,BATA,Fashion Quotient,"4,061","$368,620 ","$208,392 ","$233,369 ","5,469","$218,164 ","3,633",$0 ,0,"$174,415 ","3,459",41.20%,"$265,145 ","4,383",$51.30 ,334,30,"1,143"
207S,SHOES,BATA,Fashion Quotient,"3,747","$470,438 ","$300,724 ","$499,547 ","6,778","$227,497 ","2,870",$0 ,0,"$268,269 ","3,658",38.80%,"$229,734 ","2,870",$80.30 ,230,30,1
207S,SHOES,BATA,Fashion Quotient,897,"$322,833 ","$78,212 ","$138,169 ","1,611","$94,487 ","1,084",$0 ,0,"$82,834 ",938,32.90%,"$98,474 ","1,119",$87.20 ,67,30,175
207S,SHOES,BATA,Fashion Quotient,"26,593","$5,325,860 ","$3,157,460 ","$3,118,957 ","28,871","$3,288,616 ","28,499","$45,091 ",494,"$1,972,158 ","18,070",46.50%,"$3,191,020 ","28,257",$118.70 ,682,30,829
207S,SHOES,BATA,Fashion Quotient,80,"$32,744 ","$6,960 ",3219,52416,"$11,397 ",131,$0 ,0,"$7,080 ",81,64.00%,"$10,875 ",125,$87.00 ,2,16,"2,341"
207S,SHOES,BATA,Fashion Quotient,"9,098","$2,340,898 ","$1,246,522 ","$666,404 ","6,517","$2,196,719 ","14,064",$0 ,0,"$822,782 ","5,963",44.40%,"$2,186,852 ","13,977",$137.00 ,183,30,586
207S,SHOES,BATA,Fashion Quotient,201,"$30,396 ","$5,482 ","$9,172 ",346,"$3,176 ",102,$0 ,0,"$5,012 ",175,45.40%,"$3,153 ",97,$27.30 ,62,30,69
207S,SHOES,BATA,Fashion Quotient,"9,007","$780,820 ","$389,694 ","$473,947 ","8,295","$629,158 ","15,935",$0 ,0,"$324,593 ","7,050",35.30%,"$700,752 ","17,222",$43.30 ,156,30,46
207S,SHOES,BATA,Fashion Quotient,"16,259","$5,390,533 ","$3,483,463 ","$759,772 ","3,427","$4,597,288 ","21,255",$0 ,0,"$1,089,277 ","4,922",68.80%,"$4,377,678 ","20,194",$214.20 ,328,30,82
207S,SHOES,BATA,Fashion Quotient,"2,722","$320,508 ","$73,084 ","$419,567 ","15,695","$59,053 ","2,174",$0 ,0,"$171,279 ","6,316",15.00%,"$73,107 ","2,464",$26.80 ,"1,043",30,187
207S,SHOES,BATA,Fashion Quotient,482,"$22,602 ","$14,428 ","$26,555 ",968,"$1,134 ",34,$0 ,0,"$11,405 ",413,49.70%,$38 ,1,$29.90 ,14,30,588
207S,SHOES,BATA,Fashion Quotient,"52,369","$3,672,856 ","$2,222,842 ","$571,885 ","12,577","$3,861,344 ","90,674",$0 ,0,"$939,724 ","21,861",50.30%,"$3,897,748 ","91,452",$42.40 ,901,30,515
207S,SHOES,BATA,Fashion Quotient,421,"$30,773 ","$17,485 ","$49,243 ",837,"$29,404 ",775,$0 ,0,"$36,583 ",706,25.70%,"$31,947 ",799,$41.50 ,59,30,12
207S,SHOES,BATA,Fashion Quotient,"3,482","$362,036 ","$211,851 ","$189,921 ","3,197","$380,915 ","5,838",$0 ,0,"$151,043 ","2,452",38.50%,"$379,644 ","5,846",$60.80 ,381,30,3
207S,SHOES,BATA,Fashion Quotient,"1,898","$552,793 ","$355,433 ","$1,224,435 ","7,013","$517,143 ","3,265",$0 ,0,"$519,143 ","2,871",17.80%,"$591,312 ","3,665",$187.30 ,998,30,12
207S,SHOES,BATA,Fashion Quotient,"6,425","$364,373 ","$160,132 ","$84,031 ","3,147","$338,814 ","12,648","$5,306 ",223,"$129,254 ","4,682",40.20%,"$344,088 ","12,853",$24.90 ,122,30,2
207S,SHOES,BATA,Fashion Quotient,"11,135","$2,483,992 ","$1,502,348 ","$1,528,268 ","11,776","$2,210,241 ","16,067","$17,672 ",141,"$1,203,189 ","9,295",40.00%,"$2,191,977 ","16,082",$134.90 ,331,30,589
207S,SHOES,BATA,Fashion Quotient,"7,379","$2,300,652 ","$1,324,103 ","$1,116,901 ","6,759","$2,080,969 ","11,131",$0 ,0,"$973,391 ","5,797",41.30%,"$2,039,946 ","11,088",$179.40 ,"1,777",30,7
207S,SHOES,BATA,Fashion Quotient,6,$286 ,$160 ,"$15,176 ",534,($635),-24,$0 ,0,"$10,329 ",364,1.10%,$0 ,0,$26.70 ,15,13,21
207S,SHOES,BATA,Fashion Quotient,"9,071","$639,765 ","$398,081 ","$676,481 ","12,838","$491,010 ","11,884",$0 ,0,"$401,264 ","9,164",36.40%,"$498,897 ","12,087",$43.90 ,322,30,162
207S,SHOES,BATA,Fashion Quotient,"2,267","$375,253 ","$107,689 ","$243,254 ","4,889","$80,656 ","3,287",$0 ,0,"$131,214 ","2,684",27.60%,"$84,677 ","3,338",$47.50 ,193,30,376
207S,SHOES,BATA,Fashion Quotient,"3,124","$360,933 ","$177,527 ","$307,237 ","5,332","$293,583 ","5,272",$0 ,0,"$186,588 ","3,238",28.90%,"$308,166 ","5,496",$56.80 ,454,30,55
207S,SHOES,BATA,Fashion Quotient,441,"$52,837 ","$31,359 ","$123,969 ","1,589","($1,567)",-16,$0 ,0,"$43,958 ",567,27.80%,$0 ,0,$71.10 ,200,30,128
207S,SHOES,BATA,Fashion Quotient,"17,812","$2,407,552 ","$1,478,312 ","$1,845,033 ","26,231","$1,375,782 ","16,909","$10,451 ",105,"$1,054,724 ","14,838",41.00%,"$1,369,895 ","17,258",$83.00 ,502,30,76
202G,GIFTS,STRAUT LITTLE,ArchGalllery,36,"$3,934 ","$1,349 ","$1,201 ",50,$980 ,25,$0 ,0,$518 ,19,42.90%,"$1,181 ",34,$37.50 ,14,22,93
202G,GIFTS,STRAUT LITTLE,ArchGalllery,43,"$2,329 ","$2,137 ","$1,138 ",44,"$2,492 ",36,$0 ,0,$408 ,15,51.20%,"$2,264 ",40,$49.70 ,24,27,474
202G,GIFTS,STRAUT LITTLE,ArchGalllery,165,"$37,382 ","$9,974 ","$10,701 ",214,"$9,498 ",191,$0 ,0,"$6,107 ",123,40.40%,"$9,490 ",194,$60.40 ,27,30,22
202G,GIFTS,STRAUT LITTLE,ArchGalllery,296,"$33,932 ","$18,253 ","$27,531 ",195,"$86,416 ","1,319",$0 ,0,"$24,069 ",299,19.60%,"$85,906 ","1,319",$61.70 ,60,30,286
202G,GIFTS,STRAUT LITTLE,ArchGalllery,536,"$33,972 ","$17,138 ","$8,735 ",207,"$15,677 ",501,$0 ,0,"$3,101 ",72,78.80%,"$14,690 ",473,$32.00 ,168,30,"1,053"
202G,GIFTS,STRAUT LITTLE,ArchGalllery,239,"$23,205 ","$15,607 ","$18,349 ",309,"$12,539 ",178,$0 ,0,"$7,173 ",124,48.40%,"$12,822 ",185,$65.30 ,77,30,375
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"2,595","$3,323,542 ","$832,141 ","$434,593 ","1,111","$839,892 ","2,689",$0 ,0,"$256,511 ",676,71.50%,"$777,162 ","2,517",$320.70 ,172,30,331
202G,GIFTS,STRAUT LITTLE,ArchGalllery,193,"$33,079 ","$5,876 ","$10,064 ",562,"$8,164 ",453,$0 ,0,"$4,194 ",245,19.50%,"$7,849 ",428,$30.40 ,99,30,653
202G,GIFTS,STRAUT LITTLE,ArchGalllery,4,$22 ,$16 ,$105 ,26,$0 ,0,$0 ,0,$85 ,21,15.40%,$0 ,0,$4.00 ,1,16,725
202G,GIFTS,STRAUT LITTLE,ArchGalllery,9,$393 ,$98 ,"$4,556 ",231,"($1,355)",-100,$0 ,0,"$3,331 ",136,3.90%,$0 ,0,$10.90 ,35,13,9
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,059","$333,543 ","$86,388 ","$65,825 ","1,170","$120,662 ","1,182",$0 ,0,"$46,976 ",652,45.00%,"$117,887 ","1,184",$81.60 ,73,30,303
202G,GIFTS,STRAUT LITTLE,ArchGalllery,421,"$34,563 ","$18,547 ","$6,370 ",158,"$52,599 ","1,502",$0 ,0,"$9,726 ",299,25.30%,"$52,563 ","1,505",$44.10 ,199,30,87
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,089","$92,380 ","$60,978 ","$130,784 ","1,753","$57,834 ","1,243",$0 ,0,"$55,820 ",799,36.20%,"$68,785 ","1,254",$56.00 ,65,30,18
202G,GIFTS,STRAUT LITTLE,ArchGalllery,240,"$8,303 ","$3,816 ","$15,589 ",664,"$13,336 ",998,$0 ,0,"$11,943 ",605,14.40%,"$13,323 ",997,$15.90 ,23,21,68
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"2,667","$927,395 ","$503,990 ","$104,085 ",679,"$910,599 ","5,599",$0 ,0,"$241,013 ","1,434",43.10%,"$890,139 ","5,509",$189.00 ,67,30,773
202G,GIFTS,STRAUT LITTLE,ArchGalllery,11,$355 ,$186 ,"$30,044 ","3,551","($1,284)",-12,$0 ,0,"$11,907 ","1,295",0.30%,$36 ,6,$16.90 ,138,26,33
202G,GIFTS,STRAUT LITTLE,ArchGalllery,59,"$2,295 ","$1,460 ","$4,080 ",108,$25 ,1,$0 ,0,"$1,968 ",55,54.60%,$0 ,0,$24.80 ,13,30,7
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,379","$66,224 ","$44,879 ","$61,507 ","1,154","$85,149 ","3,340",$0 ,0,"$41,707 ","1,124",31.10%,"$82,807 ","3,286",$32.50 ,138,30,399
202G,GIFTS,STRAUT LITTLE,ArchGalllery,"1,819","$736,247 ","$554,485 ","$309,465 ","1,018","$579,375 ","1,863",$0 ,0,"$161,197 ",523,64.10%,"$567,416 ","1,819",$304.80 ,461,30,218
202G,GIFTS,STRAUT LITTLE,ArchGalllery,50,"$33,585 ","$7,813 ","$4,790 ",38,"$6,678 ",43,$0 ,0,"$4,310 ",35,61.70%,"$6,624 ",43,$156.30 ,4,30,363
202G,GIFTS,STRAUT LITTLE,Value Store,"1,537","$833,539 ","$614,031 ","$449,036 ","1,347","$1,128,030 ","2,708",$0 ,0,"$394,693 ",991,39.20%,"$1,071,124 ","2,569",$399.50 ,349,30,642
202G,GIFTS,STRAUT LITTLE,Value Store,"5,721","$45,609 ","$17,822 ","$5,600 ",814,"$58,180 ","10,722",$0 ,0,"$20,259 ","3,564",48.20%,"$62,719 ","11,049",$3.10 ,63,25,18
202G,GIFTS,STRAUT LITTLE,Value Store,100,"$3,804 ","$2,574 ","$3,286 ",210,"$2,712 ",133,$0 ,0,"$1,402 ",93,29.50%,"$2,602 ",129,$25.70 ,34,27,969
202G,GIFTS,STRAUT LITTLE,Value Store,"6,023","$932,640 ","$425,196 ","$200,189 ","4,665","$1,032,313 ","13,970","$2,289 ",18,"$348,883 ","5,459",32.40%,"$1,021,180 ","13,946",$70.60 ,328,30,10
